交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注,交易日期,交易月份
2026-05-01 12:11:34,商户消费,中山市瑶然餐饮店,其他中餐,支出,10.0,零钱,支付成功,4200003092202605016719167177,20260501110113130266250323153292,/,2026-05-01,2026-05
2026-05-01 18:56:34,商户消费,顺鑫食店,/,支出,17.0,零钱,支付成功,4500000174202605017944891516,10357665134017776329890117120500,/,2026-05-01,2026-05
2026-05-01 19:01:22,商户消费,乐佳便利店,/,支出,4.0,零钱,支付成功,4200003034202605019619032886,10357665162817776332770164434001,/,2026-05-01,2026-05
2026-05-01 23:39:57,商户消费,乐佳便利店,/,支出,4.0,零钱,支付成功,4500000175202605011997117455,10357663176717776499900187581300,/,2026-05-01,2026-05
2026-05-02 11:50:19,扫二维码付款,罗定稻米肠粉店,收款方备注:二维码收款,支出,6.0,零钱,已转账,53110001421212202605020003307724,10001073012026050201455191487616,/,2026-05-02,2026-05
2026-05-02 11:57:38,商户消费,中山通,公交-500-20260502115729,支出,1.0,零钱,支付成功,4200003073202605021565763975,202605022050424433756786690,/,2026-05-02,2026-05
2026-05-02 12:34:26,商户消费,益百家超市捷尚购店,M22113530001202605020041312-总部,支出,3.0,零钱,支付成功,4200003017202605025396025741,83620260502724596386,/,2026-05-02,2026-05
2026-05-02 16:58:35,扫二维码付款,温瑞涛,收款方备注:二维码收款,支出,12.0,零钱,已转账,53110001435173202605022381578514,10001073012026050201039670156566,/,2026-05-02,2026-05
2026-05-02 18:06:06,商户消费,中山通,公交-819-20260502180555,支出,1.0,零钱,支付成功,4200003133202605023852935822,202605022050517163644211202,/,2026-05-02,2026-05
2026-05-03 01:13:38,商户消费,乐佳便利店,/,支出,4.0,零钱,支付成功,4500000174202605039106664766,10357655556517777420120127251700,/,2026-05-03,2026-05
2026-05-03 09:25:54,商户消费,天津汤包王,/,支出,2.5,零钱,支付成功,4200003034202605036743595567,10357652801217777715490143519101,/,2026-05-03,2026-05
2026-05-03 09:26:30,商户消费,乐佳便利店,/,支出,5.0,零钱,支付成功,4500000144202605032948621716,10357652808017777715850108387001,/,2026-05-03,2026-05
2026-05-03 09:33:11,商户消费,中山通,公交-500-20260503093305,支出,1.0,零钱,支付成功,4200003095202605031307569259,202605032050750470981087234,/,2026-05-03,2026-05
2026-05-03 12:40:24,扫二维码付款,峰记石磨肠粉,收款方备注:二维码收款,支出,7.0,零钱,已转账,53110001551158202605033811364531,10001073012026050301937386552521,/,2026-05-03,2026-05
2026-05-03 17:14:13,扫二维码付款,温记隆江猪脚饭,收款方备注:二维码收款,支出,12.0,零钱,已转账,53110001532183202605033637701081,10001073012026050301585564018607,/,2026-05-03,2026-05
2026-05-03 21:04:09,商户消费,中山通,公交-819-20260503210400,支出,1.0,零钱,支付成功,4200003089202605033349135650,202605032050924344587767809,/,2026-05-03,2026-05
2026-05-04 12:37:00,商户消费,兴发早餐哥,/,支出,10.0,零钱,支付成功,4500000165202605043556577263,10357590501017778694110181148400,/,2026-05-04,2026-05
2026-05-04 12:39:03,商户消费,乐佳便利店,/,支出,3.0,零钱,支付成功,4500000147202605046079203547,10357590484117778695280164172901,/,2026-05-04,2026-05
2026-05-04 18:20:29,商户消费,顺鑫食店,/,支出,10.0,零钱,支付成功,4200003120202605045746176998,10357588440617778900230116563000,/,2026-05-04,2026-05
2026-05-04 18:23:28,扫二维码付款,袁燕,收款方备注:二维码收款,支出,2.0,零钱,已转账,53110001522134202605041513923210,10001073012026050401449302601648,/,2026-05-04,2026-05
2026-05-05 00:47:38,商户消费,乐佳便利店,/,支出,6.0,零钱,支付成功,4500000142202605057118441462,10357584619617779132530190561200,/,2026-05-05,2026-05
2026-05-05 12:14:15,商户消费,天津汤包王,/,支出,7.0,零钱,支付成功,4500000107202605054169285493,10357582185217779544450153753700,/,2026-05-05,2026-05
2026-05-05 12:14:54,商户消费,乐佳便利店,/,支出,2.0,零钱,支付成功,4500000116202605056831347171,10357582186417779544890166593000,/,2026-05-05,2026-05
2026-05-05 18:29:47,扫二维码付款,紫新美食店,收款方备注:二维码收款,支出,13.0,零钱,已转账,53110001422246202605050693460265,10001073012026050501930687465525,/,2026-05-05,2026-05
2026-05-06 07:55:13,商户消费,天津汤包王,/,支出,3.0,零钱,支付成功,4500000169202605062081742400,10357573319417780253070168255000,/,2026-05-06,2026-05
2026-05-06 08:01:59,商户消费,中山通,公交-500-20260506080159,支出,1.0,零钱,支付成功,4200003058202605067311286039,202605062051814681008844801,/,2026-05-06,2026-05
2026-05-06 12:09:52,商户消费,桂宁南宁老友记,美团收银909700212264789389,支出,20.0,零钱,支付成功,4200003047202605062579322993,0461368606555475009502183,/,2026-05-06,2026-05
2026-05-06 18:27:04,商户消费,中山通,公交-500-20260506182655,支出,1.0,零钱,支付成功,4200003063202605069123978984,202605062051971990677028866,/,2026-05-06,2026-05
2026-05-06 18:56:11,扫二维码付款,紫新美食店,收款方备注:二维码收款,支出,14.0,零钱,已转账,53110001418224202605061022633041,10001073012026050601759795595639,/,2026-05-06,2026-05
2026-05-07 08:36:26,商户消费,天津汤包王,/,支出,2.5,零钱,支付成功,4500000138202605078738566654,10357564571617781141810137051801,/,2026-05-07,2026-05
2026-05-07 12:08:29,商户消费,中山市于安胜餐饮店（个体工商户）1,广西大胜创新米粉馆WECHAT实际支付16.0元,支出,16.0,零钱,支付成功,4200003123202605075351196934,SAAS35581474202605071208278491,/,2026-05-07,2026-05
2026-05-07 18:38:13,商户消费,中山通,公交-500-20260507183806,支出,1.0,零钱,支付成功,4200003137202605071086422876,202605072052337184629866497,/,2026-05-07,2026-05
2026-05-07 19:04:44,商户消费,天津汤包王,/,支出,9.0,零钱,支付成功,4200003117202605072463301547,10357614626317781518780104463900,/,2026-05-07,2026-05
2026-05-08 00:21:35,商户消费,乐佳便利店,/,支出,5.0,零钱,支付成功,4500000145202605088258702919,10357612866717781708900138120601,/,2026-05-08,2026-05
2026-05-08 07:54:36,商户消费,天津汤包王,/,支出,2.0,零钱,支付成功,4500000150202605086135898616,10357610256617781980710178192001,/,2026-05-08,2026-05
2026-05-08 08:02:01,商户消费,中山通,公交-500-20260508080150,支出,1.0,零钱,支付成功,4200003137202605083121793702,202605082052539463614509058,/,2026-05-08,2026-05
2026-05-08 12:06:42,商户消费,中山市于安胜餐饮店（个体工商户）1,广西大胜创新米粉馆WECHAT实际支付19.0元,支出,19.0,零钱,支付成功,4200003102202605082613784955,SAAS35581474202605081206403491,/,2026-05-08,2026-05
2026-05-08 18:17:28,商户消费,中山通,（延迟扣款）公交-1801路(中山海关2026-05-07 08:45:09-紫马岭公园（爱尔眼科医院）补登),支出,1.0,零钱,支付成功,4200003132202605085947853899,202605082052694349613907969,/,2026-05-08,2026-05
2026-05-08 18:28:49,商户消费,中山通,公交-1801路(市政府2026-05-08 18:16:57-紫马岭公园（爱尔眼科医院）2026-05-08 18:28:36),支出,1.0,零钱,支付成功,4200003096202605083714409213,202605082052697205027569666,/,2026-05-08,2026-05
2026-05-08 18:36:24,商户消费,天津汤包王,/,支出,9.5,零钱,支付成功,4200003032202605081131155060,10357606302617782365790172904301,/,2026-05-08,2026-05
2026-05-08 21:19:20,商户消费,乐佳便利店,/,支出,4.0,零钱,支付成功,4500000138202605085824744488,10357605229117782463540146230300,/,2026-05-08,2026-05
